drug_name,occurrences_in_pairs,distinct_ddinter_ids,ddinter_ids
Fludarabine,223,1,DDInter745
Eltrombopag,223,1,DDInter631
Lansoprazole,222,1,DDInter1022
Timolol,222,1,DDInter1809
Varicella Zoster Vaccine (Recombinant),222,1,DDInter1920
Nelarabine,222,1,DDInter1275
Amikacin (liposome),221,1,DDInter67
Erlotinib,220,1,DDInter667
Zidovudine,219,1,DDInter1961
Pseudoephedrine,219,1,DDInter1545
Levacetylmethadol,219,1,DDInter1043
Naproxen,219,1,DDInter1266
Metoprolol,219,1,DDInter1200
Diethylstilbestrol,218,1,DDInter548
Hydrochlorothiazide,218,1,DDInter883
Sodium bicarbonate,218,1,DDInter1683
Denosumab,218,1,DDInter500
Chlorcyclizine,218,1,DDInter354
Lomitapide,217,1,DDInter1085
Torasemide,217,1,DDInter1836
Mirtazapine,217,1,DDInter1230
St. John's Wort,217,1,DDInter1708
Secobarbital,217,1,DDInter1650
Bosentan,217,1,DDInter223
Chlorthalidone,216,1,DDInter365
Hydroflumethiazide,216,1,DDInter889
Metolazone,216,1,DDInter1199
Polythiazide,216,1,DDInter1490
Boceprevir,216,1,DDInter221
Dalteparin,216,1,DDInter470
Enoxaparin,216,1,DDInter645
Anisindione,215,1,DDInter98
Estramustine,215,1,DDInter681
Indapamide,215,1,DDInter916
Linezolid,215,1,DDInter1073
Kanamycin,214,1,DDInter1004
Pindolol,214,1,DDInter1471
Human adenovirus e serotype 4 strain cl-68578 antigen,214,1,DDInter867
Measles virus vaccine live attenuated,214,1,DDInter1127
Rotavirus vaccine,214,1,DDInter1623
Yellow Fever Vaccine,214,1,DDInter1953
Maprotiline,212,1,DDInter1124
Minoxidil,212,1,DDInter1226
Telaprevir,212,1,DDInter1755
Streptomycin,211,1,DDInter1713
Chlorothiazide,211,1,DDInter360
Amobarbital,211,1,DDInter81
Clostridium tetani toxoid antigen (formaldehyde inactivated),211,1,DDInter415
Anthrax vaccine,211,1,DDInter100
Cenobamate,211,1,DDInter338
Hepatitis A Vaccine,211,1,DDInter858
Hepatitis B Vaccine (Recombinant),211,1,DDInter860
Human papillomavirus type 11 L1 capsid protein antigen,211,1,DDInter875
Influenza A virus A/California/7/2009 (H1N1)-like antigen (propiolactone inactivated),211,1,DDInter924
Influenza A virus A/Vietnam/1194/2004 (H5N1) antigen (formaldehyde inactivated),211,1,DDInter925
Meningococcal polysaccharide vaccine group C,211,1,DDInter1147
Poliovirus type 1 antigen (formaldehyde inactivated),211,1,DDInter1486
Nadolol,210,1,DDInter1255
Rubella virus vaccine,210,1,DDInter1625
Amphotericin B,209,1,DDInter85
Phentermine,209,1,DDInter1447
Cannabidiol,209,1,DDInter284
Solifenacin,209,1,DDInter1696
Amphotericin B (lipid complex),208,1,DDInter87
Rifapentine,208,1,DDInter1592
Oxytetracycline,208,1,DDInter1374
Amyl Nitrite,208,1,DDInter92
Nebivolol,207,1,DDInter1271
Bacillus calmette-guerin substrain tice live antigen,207,1,DDInter160
Isavuconazonium,207,1,DDInter980
Mumps virus strain B level jeryl lynn live antigen,207,1,DDInter1248
Busulfan,207,1,DDInter255
Abametapir (topical),206,1,DDInter3
