snapshot_date,record_type,atc_code,atc_name,ddd,uom,adm_r,note,brand_name,dosage_form,ingredients,ddd_comb
2021-12-03,main,A03CB04,homatropine methylbromide and psycholeptics,,,,,,,,
2021-12-03,main,A03CB31,hyoscyamine and psycholeptics,,,,,,,,
2021-12-03,main,A03CC,Other antispasmodics in combination with psycholeptics,,,,,,,,
2021-12-03,main,A03D,ANTISPASMODICS IN COMBINATION WITH ANALGESICS,,,,,,,,
2021-12-03,main,A03DA,Synthetic anticholinergic agents in combination with analgesics,,,,,,,,
2021-12-03,main,A03DA01,tropenzilone and analgesics,,,,,,,,
2021-12-03,main,A03DA02,pitofenone and analgesics,,,,,,,,
2021-12-03,main,A03DA03,bevonium and analgesics,,,,,,,,
2021-12-03,main,A03DA04,ciclonium and analgesics,,,,,,,,
2021-12-03,main,A03DA05,camylofin and analgesics,,,,,,,,
2021-12-03,main,A03DA06,trospium and analgesics,,,,,,,,
2021-12-03,main,A03DA07,tiemonium iodide and analgesics,,,,,,,,
2021-12-03,main,A03DB,Belladonna and derivatives in combination with analgesics,,,,,,,,
2021-12-03,main,A03DB04,butylscopolamine and analgesics,,,,,,,,
2021-12-03,main,A03DC,Other antispasmodics in combination with analgesics,,,,,,,,
2021-12-03,main,A03E,ANTISPASMODICS AND ANTICHOLINERGICS IN COMBINATION WITH OTHER DRUGS,,,,,,,,
2021-12-03,main,A03EA,"Antispasmodics, psycholeptics and analgesics in combination",,,,,,,,
2021-12-03,main,A03ED,Antispasmodics in combination with other drugs,,,,,,,,
2021-12-03,main,A03F,PROPULSIVES,,,,,,,,
2021-12-03,main,A03FA,Propulsives,,,,,,,,
2021-12-03,main,A03FA01,metoclopramide,30.0,mg,O,,,,,
2021-12-03,main,A03FA01,metoclopramide,30.0,mg,P,,,,,
2021-12-03,main,A03FA01,metoclopramide,30.0,mg,R,,,,,
2021-12-03,main,A03FA02,cisapride,30.0,mg,O,,,,,
2021-12-03,main,A03FA02,cisapride,30.0,mg,R,,,,,
2021-12-03,main,A03FA03,domperidone,30.0,mg,O,,,,,
2021-12-03,main,A03FA03,domperidone,30.0,mg,P,,,,,
2021-12-03,main,A03FA03,domperidone,0.12,g,R,,,,,
2021-12-03,main,A03FA04,bromopride,20.0,mg,O,,,,,
2021-12-03,main,A03FA04,bromopride,20.0,mg,P,,,,,
2021-12-03,main,A03FA05,alizapride,0.15,g,O,,,,,
2021-12-03,main,A03FA05,alizapride,0.15,g,P,,,,,
2021-12-03,main,A03FA06,clebopride,,,,,,,,
2021-12-03,main,A03FA07,itopride,,,,,,,,
2021-12-03,main,A03FA08,cinitapride,,,,,,,,
2021-12-03,main,A03FA09,mosapride,,,,,,,,
2021-12-03,main,A04,ANTIEMETICS AND ANTINAUSEANTS,,,,,,,,
2021-12-03,main,A04A,ANTIEMETICS AND ANTINAUSEANTS,,,,,,,,
2021-12-03,main,A04AA,Serotonin (5HT3) antagonists,,,,,,,,
2021-12-03,main,A04AA01,ondansetron,16.0,mg,O,,,,,
2021-12-03,main,A04AA01,ondansetron,16.0,mg,P,,,,,
2021-12-03,main,A04AA01,ondansetron,16.0,mg,R,,,,,
2021-12-03,main,A04AA02,granisetron,2.0,mg,O,,,,,
2021-12-03,main,A04AA02,granisetron,3.0,mg,P,,,,,
2021-12-03,main,A04AA02,granisetron,3.1,mg,TD,,,,,
2021-12-03,main,A04AA03,tropisetron,5.0,mg,O,,,,,
2021-12-03,main,A04AA03,tropisetron,5.0,mg,P,,,,,
2021-12-03,main,A04AA04,dolasetron,0.2,g,O,,,,,
2021-12-03,main,A04AA04,dolasetron,0.1,g,P,,,,,
2021-12-03,main,A04AA05,palonosetron,0.5,mg,O,,,,,
2021-12-03,main,A04AA05,palonosetron,0.25,mg,P,,,,,
2021-12-03,main,A04AA55,"palonosetron, combinations",,,,,,,,
2021-12-03,main,A04AD,Other antiemetics,,,,,,,,
2021-12-03,main,A04AD01,scopolamine,,,,,,,,
2021-12-03,main,A04AD02,cerium oxalate,,,,,,,,
2021-12-03,main,A04AD04,chlorobutanol,,,,,,,,
2021-12-03,main,A04AD05,metopimazine,15.0,mg,O,,,,,
2021-12-03,main,A04AD05,metopimazine,15.0,mg,P,,,,,
2021-12-03,main,A04AD10,dronabinol,,,,,,,,
2021-12-03,main,A04AD11,nabilone,3.0,mg,O,,,,,
2021-12-03,main,A04AD12,aprepitant,165.0,mg,O,,,,,
2021-12-03,main,A04AD12,aprepitant,150.0,mg,P,Refers to fosaprepitant,,,,
2021-12-03,main,A04AD13,casopitant,,,,,,,,
2021-12-03,main,A04AD14,rolapitant,0.18,g,O,,,,,
2021-12-03,main,A04AD51,"scopolamine, combinations",,,,,,,,
2021-12-03,main,A04AD54,"chlorobutanol, combinations",,,,,,,,
2021-12-03,main,A05,BILE AND LIVER THERAPY,,,,,,,,
